invoiceid;branch;city;customer type;product category;product name;unit price;quantity;tax;total;date;time;payment;cogs;gross margin percentage;gross income;rating
INV-000001;A;Araraquara;Não Filiada;Gripe e Tosse;Naldecon Noite 4 comprimidos - Reckitt;17.78;1;5.2;17.78;2026-08-13;16:34:11;Cartão de Débito;12.93;27.28;4.85;4.1
INV-000002;B;Bauru;Não Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;13.13;1;6.0;13.13;2026-05-30;16:09:45;Cartão de Crédito;7.19;45.24;5.94;4.9
INV-000003;B;São Carlos;Não Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;8.23;3;10.2;24.69;2026-07-30;20:59:48;Cartão de Crédito;15.91;35.56;8.78;4.7
INV-000004;B;São Carlos;Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;14.64;1;12.5;14.64;2026-07-04;17:56:00;Cartão de Crédito;10.08;31.15;4.56;4.3
INV-000005;B;Araraquara;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;11.85;1;11.3;11.85;2026-06-17;14:47:51;Dinheiro;7.74;34.68;4.11;4.3
INV-000006;A;Jaú;Não Filiada;Gastrointestinais;Pantoprazol 40mg 28 comprimidos - Eurofarma;27.23;1;7.5;27.23;2026-07-24;19:49:33;Cartão de Débito;19.09;29.89;8.14;5.0
INV-000007;B;São Carlos;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;10.65;1;7.5;10.65;2026-08-10;11:39:02;Dinheiro;7.15;32.86;3.5;4.8
INV-000008;A;Araraquara;Filiada;Analgésicos;Neosaldina 30 comprimidos - Takeda;35.59;3;8.0;106.77;2026-05-12;17:15:16;Pix;61.31;42.58;45.46;4.1
INV-000009;A;Araraquara;Não Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;16.33;1;4.5;16.33;2026-06-01;09:56:28;Cartão de Crédito;10.55;35.39;5.78;3.6
INV-000010;B;Jaú;Filiada;Antialérgicos;Levocetirizina 5mg 10 comprimidos - Eurofarma;13.29;1;8.0;13.29;2026-07-15;10:04:51;Pix;9.18;30.93;4.11;4.1
INV-000011;A;Jaú;Não Filiada;Gripe e Tosse;Naldecon Noite 4 comprimidos - Reckitt;14.56;2;12.5;29.12;2026-07-24;15:59:17;Pix;18.8;35.44;10.32;3.5
INV-000012;A;Bauru;Não Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;14.53;1;6.0;14.53;2026-06-09;18:24:08;Cartão de Crédito;8.73;39.92;5.8;4.9
INV-000013;A;Jaú;Não Filiada;Gripe e Tosse;Vick Pyrena 5 sachês - Kenvue;10.06;1;7.5;10.06;2026-08-01;17:30:56;Cartão de Débito;6.11;39.26;3.95;5.0
INV-000014;A;Araraquara;Filiada;Gastrointestinais;Omeprazol 20mg 28 cápsulas - Medley;17.41;2;9.5;34.82;2026-05-05;12:45:29;Cartão de Débito;19.77;43.22;15.05;4.6
INV-000015;A;Jaú;Filiada;Vitaminas e Suplementos;Redoxon 10 comprimidos efervescentes - Bayer;18.2;1;11.3;18.2;2026-06-30;20:24:59;Cartão de Crédito;10.84;40.44;7.36;3.9
INV-000016;A;Bauru;Filiada;Gripe e Tosse;Vick Pyrena 5 sachês - Kenvue;21.84;1;5.2;21.84;2026-06-27;10:48:09;Cartão de Débito;14.59;33.2;7.25;3.5
INV-000017;B;Jaú;Filiada;Cardiovasculares;Losartana 50mg 30 comprimidos - Medley;19.27;1;5.2;19.27;2026-05-19;20:32:46;Cartão de Débito;13.19;31.55;6.08;4.6
INV-000018;A;Jaú;Não Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;31.75;1;5.2;31.75;2026-06-29;20:44:29;Dinheiro;19.11;39.81;12.64;4.1
INV-000019;A;São Carlos;Não Filiada;Dermatológicos;Protetor Solar FPS 50 40g - Mantecorp;56.42;3;11.3;169.26;2026-05-20;18:04:56;Cartão de Crédito;102.34;39.54;66.92;5.0
